,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 62
67991,India,IND,"Rural population, female (% of total)",SP.RUR.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,37.1997167240134,,,,,36.6403278852095,,,,,36.0937517982714,,,,,35.596733221455395,,,,,35.102340008884504,,,,,34.3917015039782,,,,,33.636578538102604,,,,,32.8166158500924,,,
67992,India,IND,"Rural population, male (% of total)",SP.RUR.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,39.7024171453506,,,,,39.011457817654794,,,,,38.358825628100206,,,,,37.7959288724467,,,,,37.2304058196555,,,,,36.3736133093908,,,,,35.4332400207361,,,,,34.4367937990783,,,
68027,India,IND,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9539999961852996,3.93799996376038,3.9210000038147004,3.91199994087219,3.9749999046325697,4.03599977493286,4.09100008010864,4.150000095367431,4.2069997787475595,4.21600008010864,4.36199998855591,4.50699996948242,4.663000106811519,4.80999994277954,5.0040001869201705,4.88600015640259,4.76300001144409,4.611000061035161,4.49300003051758,4.3790001869201705,4.3119997978210405,4.22300004959106,4.17700004577637,4.10699987411499,4.1869997978210405,4.15999984741211,4.15799999237061,
68028,India,IND,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5199999809265097,,,,,,2.4000000953674303,,,,,4.96999979019165,,,,,4.34000015258789,,3.6900000572204603,,,,,,
68029,India,IND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78500008583069,3.63100004196167,3.6710000038147004,3.54900002479553,3.61299991607666,3.72699999809265,4.04699993133545,4.0300002098083505,4.00699996948242,4.35599994659424,4.3119997978210405,4.40199995040894,4.16499996185303,4.1880002021789595,4.14200019836426,3.97699999809265,3.7899999618530296,3.9349999427795397,3.4909999370575,3.25999999046326,3.2739999294281,3.4300000667572004,3.23499989509583,3.1909999847412096,3.2639999389648398,3.2909998893737797,3.31699991226196,
68030,India,IND,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61999988555908,,,,,,2.8499999046325697,,,,,4.1399998664856,,,,,3.25999999046326,,2.4000000953674303,,,,,,
104166,Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506500173960.269,516814274021.956,517962962962.96295,460290556900.726,435083713850.83704,395077301248.464,395531066563.296,391719993756.82794,404926534140.017,270953116950.026,195905767668.56198,259708496267.33,306602673980.117,345110438692.185,430347770731.78705,591016690742.798,764017107992.3921,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2051661732059.78,2210256976945.38,2297128039058.21,2063662665171.89,1368400705491.02,1284727602173.71,1577524145963.17,
104167,Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9999956422359597,-5.04693945132409,-14.5310737737728,-8.66854034149995,-12.569755979582201,-4.1435284056756405,-3.60000000044693,1.3999999993608,-5.29999999869118,6.40000000010392,9.99999999924522,5.0919842312465,4.74366989682775,7.29585433099831,7.175949192318879,6.37618702701079,8.153431972924281,8.535080209385429,5.24795353229554,-7.820885027015541,4.50372562582628,5.284885415441559,3.65590157303011,1.78535450092343,0.738600773189376,-2.82824081346035,-0.224910984282204,1.5456302290946,
104168,Russian Federation,RUS,GDP per capita (Current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3428.7621527086103,3485.1123055994703,3485.05600012759,3095.6597791412,2929.46211857553,2663.3945990755,2665.73972189559,2643.8976964978697,2737.55666234068,1834.8469373328699,1330.75146395036,1771.58660190996,2100.3623859404197,2375.05904394498,2975.1327783492497,4102.3722935487895,5323.47387655593,6920.194397836079,9101.25308480437,11635.26037297,8562.809598423979,10674.987707365,14351.2120537753,15434.5747807126,16007.089993444399,14125.9087274272,9346.61636024231,8759.036117752092,10743.0965915463,
104185,Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.6218469,307.6344092,197.4713847,47.74166667,14.76676632,27.6748415,85.74178151,20.77634088,21.45786502,15.7920011,13.67972036,10.86095476,12.6833396,9.687108886,8.991328161,14.11222781,11.66055046,6.852353956,8.435217224,5.086829568,6.74173735,7.829839703999999,15.52633251,7.049766291,,
